School,Street,City,District,County,State,Zip,Ranking,StatusType,Latitude,Longitude
Arroyo Seco Elementary,5280 Irene Way,Livermore,Livermore Valley Joint Unified,Alameda,CA,94568.0,8,Active,37.68367,-121.72854
Andrew N. Christensen Middle,5757 Haggin Oaks Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,7,Active,37.726489,-121.72851999999999
Rancho Las Positas Elementary,401 East Jack London Boulevard,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,7,Active,37.688959000000004,-121.80426999999999
Sunset Elementary,1671 Frankfurt Way,Livermore,Livermore Valley Joint Unified,Alameda,CA,94566.0,9,Active,37.662609,-121.77335
Leo R. Croce Elementary,5650 Scenic Avenue,Livermore,Livermore Valley Joint Unified,Alameda,CA,94568.0,8,Active,37.717069,-121.72833
Altamont Creek Elementary,6500 Garaventa Ranch Road,Livermore,Livermore Valley Joint Unified,Alameda,CA,94568.0,8,Active,37.722319,-121.71838000000001
Mountain House Elementary,3950 Mountain House Road,Byron,Mountain House Elementary,Alameda,CA,94566.0,3,Active,37.787242,-121.57728999999999
Donlon Elementary,4150 Dorman Road,Pleasanton,Murray Elementary,Alameda,CA,94568.0,10,Merged,37.684961,-121.90695
Donlon Elementary,4150 Dorman Road,Pleasanton,Dublin Unified,Alameda,CA,94588.0,10,Merged,,
Donlon Elementary,4150 Dorman Road,Pleasanton,Pleasanton Unified,Alameda,CA,94586.0,10,Active,37.684111,-121.90908
Dublin Elementary,7997 Vomac Road,Dublin,Murray Elementary,Alameda,CA,94560.0,10,Merged,37.714327000000004,-121.93688999999999
Dublin Elementary,7997 Vomac Road,Dublin,Dublin Unified,Alameda,CA,94566.0,10,Active,37.715022999999995,-121.9365
Frederiksen Elementary,7243 Tamarack Drive,Dublin,Murray Elementary,Alameda,CA,94560.0,9,Merged,37.71483,-121.92213000000001
Frederiksen Elementary,7243 Tamarack Drive,Dublin,Dublin Unified,Alameda,CA,94566.0,9,Active,37.715077,-121.92195
Lydiksen Elementary,7700 Highland Oaks Drive,Pleasanton,Murray Elementary,Alameda,CA,94560.0,9,Merged,37.680955,-121.92156999999999
Lydiksen Elementary,7700 Highland Oaks Drive,Pleasanton,Pleasanton Unified,Alameda,CA,94560.0,9,Active,37.680987,-121.9216
Murray Elementary,8435 Davona Drive,Dublin,Murray Elementary,Alameda,CA,94560.0,8,Merged,37.721435,-121.93261000000001
Murray Elementary,8435 Davona Drive,Dublin,Dublin Unified,Alameda,CA,94566.0,8,Active,37.721540000000005,-121.93298
Newark Memorial High,39375 Cedar Boulevard,Newark,Newark Unified,Alameda,CA,94560.0,6,Active,37.522095,-122.00175
Newark Junior High,6201 Lafayette Avenue,Newark,Newark Unified,Alameda,CA,94560.0,6,Merged,,
Newark Junior High,6201 Lafayette Avenue,Newark,Newark Unified,Alameda,CA,94587.0,6,Active,37.542978999999995,-122.03685
August Schilling Elementary,36901 Spruce Street,Newark,Newark Unified,Alameda,CA,94560.0,1,Active,37.528261,-122.04613
E. L. Musick Elementary,5735 Musick Avenue,Newark,Newark Unified,Alameda,CA,94560.0,6,Active,37.542291999999996,-122.03169
H. A. Snow Elementary,6580 Mirabeau Drive,Newark,Newark Unified,Alameda,CA,94560.0,6,Active,37.542891999999995,-122.05046000000002
James A. Graham Elementary,36270 Cherry Street,Newark,Newark Unified,Alameda,CA,94560.0,4,Active,37.538506,-122.04239
James L. Bunker Elementary,6071 Smith Avenue,Newark,Newark Unified,Alameda,CA,94560.0,9,Active,37.529247999999995,-122.01508000000001
John F. Kennedy Elementary,35430 Blackburn Drive,Newark,Newark Unified,Alameda,CA,94560.0,7,Active,37.551671,-122.04247
Lincoln Elementary,36111 Bettencourt Street,Newark,Newark Unified,Alameda,CA,94560.0,10,Active,37.535889000000005,-122.05195
Lincoln Elementary,36111 Bettencourt Street,Newark,Newark Unified,Alameda,CA,94560.0,7,Active,37.535889000000005,-122.05195
Lincoln Elementary,225 11th Street,Oakland,Oakland Unified,Alameda,CA,94609.0,10,Active,37.80011,-122.26715
Lincoln Elementary,225 11th Street,Oakland,Oakland Unified,Alameda,CA,94609.0,7,Active,37.80011,-122.26715
Louis Milani Elementary,37490 Birch Street,Newark,Newark Unified,Alameda,CA,94587.0,4,Active,37.533967,-122.02246000000001
Decoto School for Independent Study,600 G Street,Union City,New Haven Unified,Alameda,CA,94587.0,1,Active,37.600133,-122.01981
James Logan High,1800 H Street,Union City,New Haven Unified,Alameda,CA,94587.0,,Active,37.592494,-122.02604
Alvarado Elementary,31100 Fredi Street,Union City,New Haven Unified,Alameda,CA,94587.0,6,Active,37.595622,-122.07693
Hillview Crest Elementary,31410 Wheelon Avenue,Hayward,New Haven Unified,Alameda,CA,94587.0,3,Active,37.614362,-122.03627
Searles Elementary,33629 15th Street,Union City,New Haven Unified,Alameda,CA,94607.0,3,Active,37.596063,-122.02717
Alvarado Middle,31604 Alvarado Boulevard,Union City,New Haven Unified,Alameda,CA,94605.0,6,Active,37.591746,-122.08036000000001
Pioneer Elementary,32737 Bel Aire Street,Union City,New Haven Unified,Alameda,CA,94606.0,7,Active,37.572076,-122.07167
Tom Kitayama Elementary,1959 Sunsprite Drive,Union City,New Haven Unified,Alameda,CA,94601.0,6,Active,37.601467,-122.04978999999999
Guy Jr. Emanuele Elementary,100 Decoto Road,Union City,New Haven Unified,Alameda,CA,94601.0,4,Active,37.602005,-122.01592
Delaine Eastin Elementary,34901 Eastin Drive,Union City,New Haven Unified,Alameda,CA,94601.0,9,Active,37.566838,-122.07483
Oakland Unity High,6038 Brann Street,Oakland,Oakland Unified,Alameda,CA,94605.0,4,Active,37.773706,-122.18548
East Oakland Leadership Academy,2614 Seminary Avenue,Oakland,Oakland Unified,Alameda,CA,93601.0,4,Active,37.771840000000005,-122.18986000000001
ACORN Woodland Elementary,1025 81st Avenue,Oakland,Oakland Unified,Alameda,CA,94611.0,5,Active,37.752862,-122.18605
MetWest High,1100 3rd Avenue,Oakland,Oakland Unified,Alameda,CA,94605.0,2,Active,37.795603,-122.25683000000001
Think College Now,2825 International Boulevard,Oakland,Oakland Unified,Alameda,CA,94605.0,7,Active,37.78008,-122.2305
EnCompass Academy Elementary,1025 81st Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,2,Active,37.752862,-122.18605
Community Day,4917 Mountain Boulevard,Oakland,Oakland Unified,Alameda,CA,94608.0,,Active,37.78844,-122.17803
Oakland Community Day Middle,4917 Mountain Boulevard,Oakland,Oakland Unified,Alameda,CA,94601.0,,Active,37.78844,-122.17803
Bay Area Technology,8251 Fontaine Street,Oakland,Oakland Unified,Alameda,CA,94607.0,3,Active,37.766251000000004,-122.15438999999999
Lighthouse Community Charter High,444 Hegenberger Road,Oakland,Oakland Unified,Alameda,CA,94621.0,7,Active,37.73705,-122.19663
Aspire Berkley Maynard Academy,6200 San Pablo Avenue,Oakland,Oakland Unified,Alameda,CA,94618.0,7,Active,37.844798,-122.28416000000001
McClymonds High,2607 Myrtle Street,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.817864,-122.27863
Reach Academy,9860 Sunnyside Street,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.746513,-122.16181999999999
Manzanita SEED,2409 East 27th Street,Oakland,Oakland Unified,Alameda,CA,94601.0,5,Active,37.792204,-122.2239
Sankofa Academy,581 61st Street,Oakland,Oakland Unified,Alameda,CA,94601.0,2,Active,37.847125,-122.26443
Rise Community,8521 A Street,Oakland,Oakland Unified,Alameda,CA,94603.0,1,Active,37.752093,-122.17863999999999
Achieve Academy,1700 28th Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,7,Active,37.782892,-122.22696
American Indian Public High,3637 Magee Avenue,Oakland,Oakland Unified,Alameda,CA,94603.0,10,Active,37.793510999999995,-122.19927
United for Success Academy,2101 35th Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.784286,-122.21676000000001
Alliance Academy,1800 98th Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,1,Active,37.746371999999994,-122.16609
Elmhurst Community Prep,1800 98th Avenue,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.746371999999994,-122.16609
Coliseum College Prep Academy,1390 66th Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,2,Active,37.761975,-122.19337
ROOTS International Academy,1390 66th Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,1,Active,37.761975,-122.19337
Fred T. Korematsu Discovery Academy,10315 E Street,Oakland,Oakland Unified,Alameda,CA,94601.0,2,Active,37.737501,-122.17355
American Indian Public Charter School II,171 12th Street,Oakland,Oakland Unified,Alameda,CA,94601.0,10,Active,37.800368,-122.26548000000001
Conservatory of Vocal/Instrumental Arts,3800 Mountain Boulevard,Oakland,Oakland Unified,Alameda,CA,94621.0,8,Active,37.800277,-122.18642
Oakland Charter High,345 12th Street,Oakland,Oakland Unified,Alameda,CA,94621.0,10,Active,37.801907,-122.26953999999999
KIPP Bridge Charter,991 14th Street,Oakland,Oakland Unified,Alameda,CA,94607.0,9,Active,37.80873,-122.28272
